sequencing information of APGp1 individuals,,,,,,,,,,,,,
PopulationID,Population,Family ID,Offspring ID,HiFi platform,HiFi cov. (¡Á),HiFi N50 (Kbp),ONT platform,ONT flow cell version,ONT cov. (¡Á),ONT N50 (Kbp),UL-ONT cov. (¡Á),UL-ONT N50 (Kbp),Note
CHA-NE,"Han, Northeast China",C065-CHA-NE05,C065-CHA-NE05-01,PacBio Sequel II,47.3 ,18.2 ,PromethION,R9.4.1,128.8 ,94 ,61.0 ,173,
CHA-NE,"Han, Northeast China",C066-CHA-NE06,C066-CHA-NE06-01,PacBio Sequel II,52.7 ,17.8 ,PromethION,R9.4.1,154.3 ,108 ,61.0 ,178,
CHA-NE,"Han, Northeast China",C067-CHA-NE07,C067-CHA-NE07-01,PacBio Sequel II,48.0 ,18.4 ,PromethION,R9.4.1,116.3 ,116 ,65.7 ,186,
CHA-NE,"Han, Northeast China",C068-CHA-NE08,C068-CHA-NE08-01,PacBio Sequel II,49.7 ,17.0 ,PromethION,R9.4.1,116.6 ,112 ,64.0 ,184,
CHA-NE,"Han, Northeast China",C069-CHA-NE09,C069-CHA-NE09-01,PacBio Sequel II,51.7 ,17.8 ,PromethION,R9.4.1,116.2 ,111 ,63.3 ,180,
CHA-NE,"Han, Northeast China",C070-CHA-NE10,C070-CHA-NE10-01,PacBio Sequel II,53.7 ,20.6 ,PromethION,R9.4.1,106.6 ,98 ,49.7 ,171,
CHA-NE,"Han, Northeast China",C071-CHA-NE11,C071-CHA-NE11-01,PacBio Sequel II,57.0 ,18.5 ,PromethION,R9.4.1,119.3 ,102 ,60.7 ,172,
CHA-NE,"Han, Northeast China",C072-CHA-NE12,C072-CHA-NE12-01,PacBio Sequel II & Revio,44.3 ,21.2 ,PromethION,R9.4.1,157.8 ,100 ,79.0 ,172,
CHA-NE,"Han, Northeast China",C073-CHA-NE13,C073-CHA-NE13-01,PacBio Sequel II & Revio,49.7 ,20.9 ,PromethION,R9.4.1,117.0 ,112 ,64.0 ,185,
CHA-NE,"Han, Northeast China",C074-CHA-NE14,C074-CHA-NE14-01,PacBio Sequel II & Revio,50.7 ,20.5 ,PromethION,R9.4.1,121.1 ,101 ,60.7 ,173,
